ZIP,PCT_WORKING,PCT_HOUSE_OWNERS,PCT_WITH_CAR,CUSTOMER_ID,mailing_Standard tennisracket,mailing_XL original orange baseball cap,mailing_XS original red soccer shirt,GENDER,CREDITLIMIT,ZODIAC,E-MAIL ADDRESS,ORDERDATE_Max,PRICE_Sum_Sum,NUMBER OF PURCHASES
"1003IX",71,56,89,7642.000,"F","F","T","M",9136.000,3.000,"name17088@wwmail.de",2005-07-04,877.972,1
"1003IX",71,56,89,12642.000,,,,"M",9136.000,3.000,"name12254@tnet.uk",2006-05-08,1031.727,2
"1003IX",71,56,89,22642.000,,,,"M",9136.000,11.000,"name14237@tnet.uk",2010-04-01,686.964,2
"1003TK",91,72,92,18266.000,"T","F","F","M",5269.000,7.000,"name21817@wwmail.inc",2005-09-15,222.172,1
"1003TK",91,72,92,3065.000,"T","T","F","M",5269.000,8.000,"name19969@wwmail.es",2008-01-26,224.771,2
"1003TK",91,72,92,23266.000,"T","F","F","M",5269.000,12.000,"name10529@tnet.inc",2008-04-29,823.263,3
"1003UB",67,49,93,15764.000,,,,"F",8751.000,7.000,"name4198@tnet.jp",2010-02-19,1243.295,3
"1003UB",67,49,93,10764.000,"T","F","T","F",8751.000,8.000,"name3674@molbe.cat",2008-04-25,1007.130,3
"1004CR",80,60,88,10568.000,"F","T","T","M",9259.000,5.000,"name12510@tnet.uk",2007-09-27,130.227,1
"1004CR",80,60,88,20568.000,"T","T","T","M",9259.000,2.000,"name18188@wwmail.es",2010-05-06,520.178,2
"1004CR",80,60,88,5605.000,"T","T","F","M",9259.000,4.000,"name13164@tnet.uk",2008-04-03,340.165,2
"1004CR",80,60,88,30568.000,"F","T","F","M",9259.000,11.000,"name14503@wwmail.de",2008-07-20,465.908,1
"1004IB",81,65,89,18835.000,,,,"M",7538.000,4.000,"name1724@lomejor.es",2010-07-05,975.424,3
"1004PO",84,70,94,8278.000,"T","T","F","F",1366.000,8.000,"name16670@wwmail.de",2007-06-08,1055.823,3
"1004PO",84,70,94,28278.000,"T","T","F","F",1366.000,9.000,"name29782@zigzag.es",2009-04-21,1708.552,5
"1004XV",85,70,88,9266.000,,,,"F",5368.000,9.000,"name17994@wwmail.es",2008-03-14,542.416,2
"1004XV",85,70,88,14266.000,"T","F","F","F",5368.000,6.000,"name586@hmail.uk",2009-07-08,420.501,3
"1004XV",85,70,88,24266.000,,,,"F",5368.000,8.000,"name676@hmail.uk",2010-11-11,975.789,2
"1005GB",81,64,87,17542.000,,,,"M",2214.000,6.000,"name745@hmail.uk",2009-02-01,735.299,3
"1005GR",77,62,88,11051.000,,,,"F",8127.000,6.000,"name4235@tnet.jp",2008-05-07,191.455,3
"1005SZ",70,55,95,14044.000,"T","F","F","F",4355.000,9.000,"name26289@wwmail.uk",2009-08-18,1408.189,3
"1005SZ",70,55,95,29044.000,,,,"F",4355.000,11.000,"name11011@tnet.inc",2009-05-28,663.688,2
"1006FL",84,71,94,2929.000,"F","T","F","F",8997.000,9.000,"name6899@tnet.fr",2000-03-14,1295.960,1
"1006FL",84,71,94,28228.000,"F","T","F","F",8997.000,10.000,"name25489@wwmail.uk",2007-06-17,483.839,3
"1006KL",70,54,96,18088.000,"F","T","F","F",9017.000,8.000,"name10118@tnet.inc",2008-03-06,487.447,2
"1006KL",70,54,96,8088.000,"T","T","F","F",9017.000,8.000,"name12837@tnet.uk",2010-11-01,2205.665,6
"1006KL",70,54,96,28088.000,"F","T","F","F",9017.000,2.000,"name15788@wwmail.de",2010-12-20,477.239,2
"1006KL",70,54,96,23088.000,"F","T","F","F",9017.000,3.000,"name28042@zigzag.be",2010-11-06,698.693,3
"1006VP",75,63,90,24940.000,,,,"F",9818.000,2.000,"name9479@tnet.inc",2010-08-19,924.211,2
"1006VP",75,63,90,29940.000,,,,"F",9818.000,6.000,"name29892@zigzag.fr",2006-11-08,321.589,2
"1006WP",75,61,92,25882.000,"T","F","F","F",2099.000,12.000,"name22935@wwmail.inc",2009-03-19,289.310,2
"1007AE",74,58,85,8287.000,"T","F","F","M",83.000,6.000,"name9518@tnet.inc",2008-10-30,245.032,1
"1007AE",74,58,85,3086.000,"T","T","T","M",83.000,12.000,"name6496@tnet.fr",2009-04-24,1248.409,3
"1007AE",74,58,85,28287.000,,,,"M",83.000,3.000,"name15687@wwmail.de",2009-07-23,1049.766,3
"1007AE",74,58,85,23287.000,,,,"M",83.000,4.000,"name21549@wwmail.inc",2009-01-16,506.502,1
"1007HU",76,63,86,20408.000,"F","T","F","F",1317.000,9.000,"name7846@tnet.fr",2006-05-02,91.823,1
"1007JU",82,65,86,18193.000,"T","T","F","F",3477.000,3.000,"name26518@wwmail.uk",2007-11-07,1895.903,5
"1007JU",82,65,86,8193.000,"F","T","F","F",3477.000,7.000,"name29757@zigzag.com",2005-06-26,926.640,2
"1007TN",83,70,90,3088.000,"F","T","F","M",2579.000,4.000,"name15101@wwmail.de",2008-08-16,526.522,3
"1007TN",83,70,90,23289.000,"F","F","T","M",2579.000,2.000,"name25491@wwmail.uk",2009-12-13,1501.363,6
"1007YV",79,64,90,3068.000,"T","T","F","M",5383.000,8.000,"name27051@wwmail.uk",1999-06-22,686.390,1
"1007YV",79,64,90,13269.000,,,,"M",5383.000,3.000,"name2258@lomejor.es",2006-06-16,905.851,3
"1008CD",75,60,89,20215.000,,,,"M",8310.000,10.000,"name20980@wwmail.inc",2010-11-07,2677.194,6
"1008DS",82,66,90,15492.000,,,,"F",5260.000,8.000,"name8319@tnet.inc",2006-07-06,910.255,1
"1008GT",71,61,92,11662.000,"T","F","F","F",8831.000,4.000,"name27675@zigzag.be",2010-01-01,249.057,2
"1008KU",82,66,96,8030.000,,,,"F",1843.000,8.000,"name28553@zigzag.cat",2007-12-17,72.691,1
"1008LJ",82,66,91,9524.000,,,,"F",2165.000,3.000,"name29815@zigzag.es",2010-01-05,718.325,2
"1008NV",72,57,91,9771.000,,,,"M",6634.000,2.000,"name10532@tnet.inc",2005-12-27,49.957,1
"1008NV",72,57,91,4572.000,"F","T","F","M",6634.000,6.000,"name673@hmail.uk",1999-09-23,488.880,1
"1008NV",72,57,91,24771.000,,,,"M",6634.000,6.000,"name6718@tnet.fr",2010-02-15,1504.400,3
"1008NV",72,57,91,29771.000,"F","F","T","M",6634.000,2.000,"name11734@tnet.uk",2010-03-08,436.244,1
"1008YS",81,64,89,27837.000,"F","F","T","M",6858.000,12.000,"name9315@tnet.inc",2008-10-15,536.211,2
"1009SH",80,65,92,3926.000,"F","T","F","M",965.000,12.000,"name10805@tnet.inc",2009-07-21,520.422,3
"1009TV",73,59,90,10850.000,,,,"F",7750.000,12.000,"name21691@wwmail.inc",2009-08-16,1349.141,5
"1009TV",73,59,90,20850.000,,,,"F",7750.000,8.000,"name4579@tnet.jp",2008-09-01,351.576,2
"1009ZI",80,66,89,11140.000,,,,"F",7808.000,7.000,"name16356@wwmail.de",2008-01-02,1180.750,3
"1009ZI",80,66,89,16140.000,"T","F","F","F",7808.000,2.000,"name1558@lomejor.es",2008-07-22,628.799,1
"1009ZS",87,72,92,1247.000,"T","T","F","M",5868.000,4.000,"name28005@zigzag.be",2004-07-01,491.261,1
"1010GN",86,69,90,20206.000,"F","F","T","M",3342.000,8.000,"name1939@lomejor.es",2009-08-02,1624.817,4
"1010GN",86,69,90,10206.000,,,,"M",3342.000,8.000,"name16999@wwmail.de",2008-05-20,205.260,1
"1010GN",86,69,90,30206.000,"F","F","T","M",3342.000,8.000,"name20343@wwmail.es",2007-05-25,251.272,1
"1010GN",86,69,90,25206.000,,,,"M",3342.000,12.000,"name24268@wwmail.org",2008-01-06,65.507,1
"1010JJ",73,58,94,11636.000,,,,"M",6146.000,10.000,"name6417@tnet.fr",2008-07-24,1084.111,3
"1010JJ",73,58,94,16636.000,,,,"M",6146.000,2.000,"name5779@tnet.jp",2007-05-21,679.515,2
"1010JJ",73,58,94,21636.000,,,,"M",6146.000,5.000,"name28760@zigzag.cat",2009-11-05,2116.952,4
"1010JJ",73,58,94,26636.000,"F","F","T","M",6146.000,5.000,"name13711@tnet.uk",2010-02-21,25.000,1
"1010NH",78,63,89,8953.000,"F","T","F","M",2072.000,6.000,"name9955@tnet.inc",2010-11-21,1512.770,5
"1010NH",78,63,89,23953.000,"F","T","F","M",2072.000,8.000,"name14107@tnet.uk",2010-08-10,1927.493,6
"1010RH",81,67,89,19651.000,,,,"M",2526.000,8.000,"name22802@wwmail.inc",2008-07-09,491.963,1
"1011CQ",82,64,88,6085.000,"F","F","T","F",3430.000,10.000,"name22194@wwmail.inc",2007-03-18,435.188,1
"1011CQ",82,64,88,26085.000,,,,"F",3430.000,6.000,"name25160@wwmail.org",2009-10-28,1203.811,3
"1011NI",78,66,90,4485.000,"F","T","F","M",1955.000,3.000,"name13341@tnet.uk",2008-03-20,40.028,1
"1011NI",78,66,90,19483.000,"F","T","T","M",1955.000,2.000,"name5876@tnet.fr",2008-03-10,519.117,3
"1011OA",68,50,87,27062.000,,,,"F",5095.000,6.000,"name17967@wwmail.es",2010-02-11,510.143,3
"1011UM",79,65,87,12640.000,"T","F","F","F",5434.000,2.000,"name7686@tnet.fr",2010-12-12,910.702,4
"1011UM",79,65,87,2135.000,"F","T","F","F",5434.000,7.000,"name14532@wwmail.de",2010-04-20,992.352,3
"1011UM",79,65,87,22640.000,,,,"F",5434.000,11.000,"name8267@tnet.inc",2009-09-19,1655.894,5
"1011XX",74,60,90,8423.000,"F","T","F","F",8137.000,11.000,"name29906@zigzag.fr",2005-09-26,50.548,1
"1012HE",83,67,93,10799.000,"T","F","F","M",2644.000,8.000,"name15290@wwmail.de",2008-04-22,772.307,2
"1012HE",83,67,93,15799.000,,,,"M",2644.000,7.000,"name22947@wwmail.inc",2008-04-21,540.955,2
"1012KL",91,76,87,28941.000,"T","F","F","M",9806.000,6.000,"name17638@wwmail.es",2009-05-21,53.775,1
"1012MZ",83,70,90,9259.000,"F","F","T","F",30.000,6.000,"name29839@zigzag.es",2010-09-05,764.078,3
"1012MZ",83,70,90,24259.000,"T","F","F","F",30.000,10.000,"name21577@wwmail.inc",2010-04-12,410.492,2
"1012NA",76,65,95,20783.000,"T","T","F","F",134.000,3.000,"name23943@wwmail.org",2010-09-09,1627.020,6
"1012NA",76,65,95,10783.000,"F","T","F","F",134.000,10.000,"name29462@zigzag.jp",2009-09-23,259.256,2
"1012NA",76,65,95,5783.000,"F","T","F","F",134.000,10.000,"name3628@molbe.cat",2008-07-27,77.949,1
"1012NA",76,65,95,25783.000,"T","T","F","F",134.000,10.000,"name20287@wwmail.es",2007-09-26,85.333,1
"1013BV",85,71,90,1520.000,"F","T","F","F",7830.000,12.000,"name28459@zigzag.cat",2001-04-05,872.040,1
"1013BV",85,71,90,26519.000,,,,"F",7830.000,9.000,"name27945@zigzag.be",2007-12-10,711.316,1
"1013ET",80,64,88,8419.000,"T","F","F","F",9809.000,4.000,"name7546@tnet.fr",2009-11-25,511.359,1
"1013ET",80,64,88,18419.000,,,,"F",9809.000,3.000,"name10804@tnet.inc",2010-05-02,2453.945,6
"1013GD",81,66,87,2757.000,"F","T","F","F",7350.000,10.000,"name22230@wwmail.inc",2010-06-07,660.958,3
"1013KP",91,77,93,8274.000,"F","F","T","F",3854.000,7.000,"name2119@lomejor.es",2010-05-16,1421.302,3
"1013KP",91,77,93,13274.000,"T","F","F","F",3854.000,5.000,"name18376@wwmail.es",2010-06-20,1924.037,6
"1013KP",91,77,93,28274.000,,,,"F",3854.000,4.000,"name15696@wwmail.de",2006-01-27,89.892,1
"1013LF",79,63,89,11846.000,,,,"F",8548.000,6.000,"name9362@tnet.inc",2007-05-24,379.068,2
"1013RL",80,66,91,20652.000,"F","F","T","M",7538.000,3.000,"name11172@tnet.uk",2007-09-02,519.933,3
"1013UT",80,64,89,1004.000,"F","T","F","F",7037.000,7.000,"name17531@wwmail.de",2009-05-13,510.461,3
"1013ZL",88,73,92,5755.000,"F","F","T","F",7984.000,4.000,"name6074@tnet.fr",2007-03-08,462.107,2
"1014GX",86,71,90,24859.000,"T","F","F","F",1057.000,5.000,"name10028@tnet.inc",2008-06-06,283.226,1
"1014LQ",73,61,86,27616.000,"T","F","T","F",1950.000,10.000,"name13112@tnet.uk",2008-10-20,595.606,2
"1014OO",85,71,90,26274.000,,,,"F",5150.000,7.000,"name5381@tnet.jp",2005-04-17,353.015,1
"1014QS",80,66,91,7946.000,"F","F","T","F",2126.000,3.000,"name4439@tnet.jp",2009-08-15,1198.191,3
"1014QS",80,66,91,27946.000,,,,"F",2126.000,3.000,"name29417@zigzag.jp",2007-07-22,1200.247,5
"1014QS",80,66,91,22946.000,,,,"F",2126.000,12.000,"name24502@wwmail.org",2009-05-15,775.020,1
"1014SW",75,63,89,1090.000,"F","T","F","F",2109.000,7.000,"name17517@wwmail.de",2004-06-17,1112.640,2
"1015BU",85,69,92,5546.000,"F","T","F","F",8830.000,2.000,"name21051@wwmail.inc",2010-05-13,1216.948,2
"1015BU",85,69,92,15509.000,,,,"F",8830.000,3.000,"name16916@wwmail.de",2009-10-26,695.958,2
"1015BU",85,69,92,10509.000,"F","F","T","F",8830.000,7.000,"name12516@tnet.uk",2010-09-24,120.081,1
"1015LC",85,69,92,15588.000,"F","T","F","M",7812.000,7.000,"name5769@tnet.jp",2010-10-18,833.437,2
"1015LC",85,69,92,30588.000,"T","T","F","M",7812.000,3.000,"name5875@tnet.fr",2007-07-01,599.284,2
"1015SA",85,68,92,2704.000,"F","T","F","M",7709.000,6.000,"name8441@tnet.inc",1999-06-12,175.980,1
"1015SA",85,68,92,7101.000,,,,"M",7709.000,6.000,"name22425@wwmail.inc",2010-09-11,575.272,3
"1015SA",85,68,92,17101.000,,,,"M",7709.000,10.000,"name20650@wwmail.inc",2007-12-02,238.206,1
"1015TR",86,74,87,25762.000,,,,"M",5005.000,6.000,"name17387@wwmail.de",2010-02-15,468.744,3
"1015WW",87,69,87,14746.000,,,,"M",80.000,6.000,"name6516@tnet.fr",2009-08-19,1511.805,3
"1015WW",87,69,87,9746.000,,,,"M",80.000,9.000,"name1940@lomejor.es",2007-09-26,1396.353,4
"1015WW",87,69,87,19746.000,,,,"M",80.000,2.000,"name10977@tnet.inc",2010-05-07,789.566,3
"1015WW",87,69,87,24746.000,"T","F","F","M",80.000,3.000,"name23745@wwmail.org",2009-02-02,596.256,3
"1016EL",84,67,88,13527.000,,,,"F",4306.000,10.000,"name3546@molbe.cat",2007-12-22,222.818,1
"1016FE",80,67,90,16600.000,,,,"M",6237.000,11.000,"name15666@wwmail.de",2005-03-16,160.472,1
"1016FE",80,67,90,21600.000,,,,"M",6237.000,3.000,"name7332@tnet.fr",2009-01-25,189.740,2
"1016FE",80,67,90,26600.000,,,,"M",6237.000,6.000,"name13734@tnet.uk",2010-06-09,904.894,3
"1016MH",77,64,87,20278.000,"F","T","F","F",1440.000,9.000,"name10445@tnet.inc",2010-12-27,305.104,2
"1016MH",77,64,87,15278.000,"F","T","F","F",1440.000,10.000,"name21053@wwmail.inc",2009-07-19,1276.417,4
"1016MH",77,64,87,30278.000,"F","T","T","F",1440.000,4.000,"name14632@wwmail.de",2007-05-19,323.817,2
"1016UI",78,63,89,11710.000,,,,"F",9788.000,8.000,"name4705@tnet.jp",2007-11-29,718.622,2
"1016UI",78,63,89,26710.000,"F","F","T","F",9788.000,3.000,"name18031@wwmail.es",2008-03-26,738.239,2
"1017HU",85,72,93,5204.000,"F","T","F","F",9973.000,5.000,"name10485@tnet.inc",2003-05-18,1801.950,2
"1017HU",85,72,93,25685.000,"T","F","T","F",9973.000,1.000,"name20231@wwmail.es",2010-02-08,1846.923,3
"1017HU",85,72,93,30685.000,,,,"F",9973.000,11.000,"name14440@wwmail.de",2010-12-02,182.970,1
"1017QM",84,67,90,5516.000,"F","T","F","F",620.000,2.000,"name248@hmail.inc",1999-01-06,801.920,1
"1017QM",84,67,90,15479.000,,,,"F",620.000,12.000,"name11894@tnet.uk",2010-06-29,356.430,1
"1017QU",80,69,91,6932.000,,,,"F",1971.000,12.000,"name1116@hmail.uk",2009-10-24,1439.107,5
"1017QU",80,69,91,1932.000,"F","T","F","F",1971.000,8.000,"name2216@lomejor.es",2010-07-08,390.688,3
"1017QU",80,69,91,26932.000,,,,"F",1971.000,9.000,"name18001@wwmail.es",2005-12-19,370.666,1
"1017TD",83,68,90,18318.000,"F","T","F","F",2772.000,8.000,"name18750@wwmail.es",2010-07-26,127.363,2
"1017TD",83,68,90,8318.000,"F","T","T","F",2772.000,8.000,"name9540@tnet.inc",2007-03-11,998.514,3
"1017TD",83,68,90,28318.000,"T","T","F","F",2772.000,6.000,"name460@hmail.uk",2010-01-05,1969.283,6
"1017UG",71,58,91,8781.000,"F","F","T","F",367.000,4.000,"name19371@wwmail.es",2010-07-04,660.977,1
"1017UG",71,58,91,23781.000,"F","F","T","F",367.000,3.000,"name21192@wwmail.inc",2010-10-13,783.455,3
"1017ZU",80,65,92,8520.000,,,,"M",8028.000,10.000,"name22905@wwmail.inc",2010-03-04,729.885,3
"1017ZU",80,65,92,18520.000,,,,"M",8028.000,9.000,"name11003@tnet.inc",2005-03-01,286.810,1
"1017ZU",80,65,92,28520.000,"T","F","F","M",8028.000,7.000,"name3035@molbe.cat",2010-03-15,380.182,1
"1018CX",76,60,87,4035.000,"F","T","F","F",2378.000,8.000,"name13402@tnet.uk",1999-05-13,1631.850,1
"1018CX",76,60,87,14036.000,,,,"F",2378.000,6.000,"name20742@wwmail.inc",2010-01-09,837.948,2
"1018ED",83,67,85,30660.000,,,,"M",4019.000,8.000,"name14452@wwmail.de",2008-03-13,108.011,2
"1018ET",89,73,89,13875.000,,,,"M",1634.000,10.000,"name6450@tnet.fr",2009-04-27,998.222,1
"1018FJ",83,67,90,11453.000,"T","T","F","F",9334.000,2.000,"name4525@tnet.jp",2009-05-02,857.865,3
"1018FW",77,60,91,24286.000,,,,"F",1935.000,4.000,"name25326@wwmail.org",2009-12-21,402.590,2
"1018FW",77,60,91,29286.000,"T","F","F","F",1935.000,3.000,"name6489@tnet.fr",2009-03-30,828.508,2
"1018GT",80,64,90,9202.000,,,,"F",3853.000,11.000,"name18159@wwmail.es",2010-11-29,1379.672,3
"1018GT",80,64,90,29202.000,"T","F","F","F",3853.000,4.000,"name24872@wwmail.org",2009-09-16,323.816,1
"1018GT",80,64,90,24202.000,,,,"F",3853.000,9.000,"name790@hmail.uk",2009-08-02,957.658,3
"1018KC",82,71,92,19778.000,"F","T","F","F",9594.000,11.000,"name17073@wwmail.de",2009-07-17,406.156,2
"1018RM",78,64,90,11673.000,"F","T","T","F",677.000,4.000,"name6431@tnet.fr",2009-02-09,397.070,1
"1018RM",78,64,90,6673.000,"F","T","T","F",677.000,5.000,"name6557@tnet.fr",2009-07-21,1564.824,4
"1018RM",78,64,90,26673.000,"F","T","F","F",677.000,8.000,"name18038@wwmail.es",2008-11-12,433.755,1
"1018UX",76,60,89,4556.000,"F","T","F","F",9491.000,3.000,"name24686@wwmail.org",2003-12-16,1495.130,3
"1018UX",76,60,89,29755.000,"T","F","F","F",9491.000,10.000,"name25923@wwmail.uk",2009-11-07,2042.464,5
"1018WI",81,66,94,17098.000,"T","T","F","F",1478.000,8.000,"name16845@wwmail.de",2009-11-04,647.644,3
"1019BN",86,68,88,18883.000,"F","T","F","F",9064.000,7.000,"name2768@molbe.cat",2010-06-14,442.969,1
"1019BN",86,68,88,8883.000,"F","T","F","F",9064.000,11.000,"name23156@wwmail.inc",2006-04-05,136.843,1
"1019BN",86,68,88,23883.000,"F","T","F","F",9064.000,7.000,"name24805@wwmail.org",2009-10-07,1354.343,5
"1019BN",86,68,88,28883.000,"F","T","F","F",9064.000,10.000,"name12312@tnet.uk",2010-11-14,3156.980,6
"1019CB",83,69,92,17550.000,,,,"M",1330.000,10.000,"name11614@tnet.uk",2010-01-23,1294.255,3
"1019CB",83,69,92,2548.000,"F","T","T","M",1330.000,5.000,"name20072@wwmail.es",2001-12-23,706.960,1
"1019OG",86,71,92,11392.000,"F","F","T","F",1962.000,11.000,"name6273@tnet.fr",2009-07-08,424.972,2
"1019OG",86,71,92,26392.000,"T","F","T","F",1962.000,2.000,"name20626@wwmail.es",2010-10-29,320.702,2
"1019TI",76,65,93,18959.000,,,,"F",3253.000,6.000,"name4464@tnet.jp",2010-10-12,593.554,3
"1019YE",80,63,90,12800.000,,,,"F",5857.000,7.000,"name16167@wwmail.de",2010-05-07,242.261,1
"1020DH",80,64,88,7562.000,,,,"F",9051.000,3.000,"name3100@molbe.cat",2007-10-09,888.065,3
"1020FR",86,71,88,16907.000,,,,"M",9151.000,4.000,"name5340@tnet.jp",2009-10-12,139.463,2
"1020FR",86,71,88,6907.000,,,,"M",9151.000,2.000,"name27088wwmail.uk",2008-06-29,710.370,2
"1020PS",87,74,88,3076.000,"T","T","F","F",2786.000,2.000,"name22042@wwmail.inc",2003-10-30,810.960,1
"1020PS",87,74,88,28277.000,,,,"F",2786.000,10.000,"name5028@tnet.jp",2009-01-08,1067.350,3
"1020PT",87,77,91,15823.000,"F","T","T","M",1564.000,9.000,"name9440@tnet.inc",2008-05-15,1036.304,2
"1020VD",79,65,88,9280.000,,,,"F",6981.000,6.000,"name28679@zigzag.cat",2008-03-08,96.578,1
"1020VD",79,65,88,14280.000,"F","F","T","F",6981.000,11.000,"name20092@wwmail.es",2007-10-14,300.640,2
"1020VD",79,65,88,29280.000,"F","F","T","F",6981.000,4.000,"name21956@wwmail.inc",2010-11-15,542.437,2
"1021FE",70,56,90,23569.000,"F","F","T","F",9905.000,9.000,"name3905@tnet.jp",2009-03-15,440.149,3
"1021QX",83,67,92,15360.000,,,,"M",7428.000,11.000,"name15399@wwmail.de",2005-02-06,139.169,1
"1021SK",82,67,91,14985.000,,,,"F",9607.000,4.000,"name19518@wwmail.es",2006-05-12,528.868,2
"1021SK",82,67,91,24985.000,,,,"F",9607.000,10.000,"name27792@zigzag.be",2009-10-08,1693.439,6
"1021VB",80,66,89,22122.000,"T","F","F","F",872.000,9.000,"name3414@molbe.cat",2005-06-12,422.458,1
"1021VB",80,66,89,2725.000,"F","T","F","F",872.000,5.000,"name8901@tnet.inc",2004-04-01,660.200,1
"1021VB",80,66,89,17122.000,,,,"F",872.000,9.000,"name29786@zigzag.es",2010-10-01,372.227,3
"1021VB",80,66,89,27122.000,,,,"F",872.000,5.000,"name5222@tnet.jp",2007-10-12,683.803,2
"1021VK",76,58,91,16403.000,"T","T","F","F",1701.000,11.000,"name16886@wwmail.de",2010-09-26,1127.421,3
"1021VN",86,69,89,10303.000,"T","T","F","M",8018.000,10.000,"name29183@zigzag.jp",2010-12-26,333.561,1
"1021WW",91,76,87,11193.000,"T","T","F","M",4848.000,4.000,"name16483@wwmail.de",2008-06-02,1423.544,3
"1021WW",91,76,87,16193.000,"F","T","T","M",4848.000,8.000,"name8146@tnet.fr",2009-11-02,140.412,1
"1021WW",91,76,87,1193.000,"F","T","F","M",4848.000,8.000,"name2620@molbe.cat",2004-11-30,614.595,1
"1021WW",91,76,87,26193.000,"F","T","F","M",4848.000,2.000,"name23205@wwmail.inc",2007-11-22,579.797,1
"1022DK",66,50,88,12993.000,"F","T","F","F",3343.000,2.000,"name2927@molbe.cat",2009-04-22,507.141,3
"1022DT",77,60,89,3044.000,"F","T","F","F",2943.000,4.000,"name6253@tnet.fr",2004-10-21,3005.319,2
"1022NH",92,75,90,1757.000,"F","T","F","M",9108.000,6.000,"name283@hmail.inc",2004-10-25,2592.595,2
"1022NH",92,75,90,21254.000,,,,"M",9108.000,3.000,"name7492@tnet.fr",2006-08-30,736.595,2
"1022PV",77,61,93,3801.000,"F","T","F","F",5325.000,5.000,"name25360@wwmail.org",2002-12-30,767.940,2
"1022PV",77,61,93,8802.000,,,,"F",5325.000,11.000,"name7663@tnet.fr",2010-09-05,734.784,5
"1022PV",77,61,93,23802.000,,,,"F",5325.000,5.000,"name14121@tnet.uk",2010-11-14,689.363,4
"1022PV",77,61,93,28802.000,"F","F","T","F",5325.000,11.000,"name24921@wwmail.org",2010-09-11,844.066,2
"1022RN",83,65,93,2428.000,"T","T","F","M",6143.000,2.000,"name14723@wwmail.de",2004-09-17,79.960,1
"1022TC",84,69,90,4828.000,"F","T","F","F",290.000,1.000,"name20528@wwmail.es",2000-01-21,273.820,1
"1022TC",84,69,90,14324.000,"F","F","T","F",290.000,8.000,"name22174@wwmail.inc",2009-11-28,1400.089,6
"1022VU",76,62,89,1898.000,"F","T","F","F",1048.000,1.000,"name28837@zigzag.cat",2010-10-09,650.815,3
"1022VU",76,62,89,26395.000,,,,"F",1048.000,10.000,"name26886@wwmail.uk",2009-07-04,1142.217,3
"1022ZS",87,77,94,4255.000,"F","T","T","M",4036.000,10.000,"name3524@molbe.cat",2004-09-26,527.030,1
