CUSTOMER_ID,GENDER,EMAIL_ADDRESS,POSTAL_CODE,RECENCY_BEFORE_FEB-01-2011,FREQUENCY_BEFORE_FEB-01-2011,MONETARY_VALUE_BEFORE_FEB-01-2011,HAS_RECEIVED_TEST_MAILING_FEB-01-2011,RESPONSE_TO_TEST_MAILING_FEB-01-2011,ORDER_DATE,NUMBER_OF_DAYS_BETWEEN_TEST_MAILING_AND_ORDER_DATE,ORDERED_WITHIN_MONTH
767,female,name13845@tnet.uk,1221JA,medium,high,low,yes,F,,,nap
768,female,name25454@wwmail.org,1794JI,medium,high,low,yes,F,,,nap
769,male,name815@hmail.uk,1127WB,high,medium,high,yes,F,,,nap
770,male,name29034@zigzag.cat,1606VF,low,high,low,yes,F,,,nap
771,female,name10378@tnet.inc,1940TF,high,low,high,yes,F,,,nap
772,male,name1619@lomejor.es,1572DZ,medium,medium,low,yes,F,,,nap
773,male,name20623@wwmail.es,1587UJ,low,medium,medium,yes,F,,,nap
774,female,name5361tnet.jp,1686RR,medium,medium,medium,yes,F,,,nap
775,male,name3155@molbe.cat,1595IP,low,high,high,yes,F,,,nap
776,male,name3147@molbe.cat,1487WF,low,high,medium,yes,F,,,nap
777,male,name17575@wwmail.de,1196XI,low,medium,high,yes,F,,,nap
778,male,name17574@wwmail.de,1197HI,low,high,low,yes,F,,,nap
779,female,name6321@tnet.fr,1120QK,low,high,high,yes,F,,,nap
780,female,name10372@tnet.inc,1180UC,low,high,medium,yes,F,,,nap
781,male,name17572@wwmail.de,1495DX,low,low,high,yes,F,,,nap
782,male,name17571@wwmail.de,1876EE,high,high,low,yes,F,,,nap
783,female,name10356@tnet.inc,1642TR,low,high,high,yes,F,,,nap
784,male,name3125@molbe.cat,1060AF,low,low,high,yes,F,,,nap
785,male,name25442@wwmail.org,1569SO,low,high,low,yes,F,,,nap
786,female,name1625@lomejor.es,1776YQ,low,medium,medium,yes,F,,,nap
787,female,name17569@wwmail.de,1575QV,medium,medium,high,yes,F,,,nap
788,male,name20614@wwmail.es,1797LD,low,high,medium,yes,F,,,nap
789,female,name25438@wwmail.org,1939UM,low,high,high,yes,F,,,nap
790,female,name6302@tnet.fr,1363IO,low,high,high,yes,T,03/03/11,30,no
791,male,name26833@wwmail.uk,1324VH,low,high,low,yes,F,,,nap
792,male,name25436@wwmail.org,1429VH,low,high,medium,yes,F,,,nap
793,male,name842@hmail.uk,1068DK,low,high,low,yes,F,,,nap
794,female,name10354@tnet.inc,1216AM,low,high,medium,yes,F,,,nap
795,male,name25434@wwmail.org,1581YK,low,medium,medium,yes,F,,,nap
796,male,name23335@wwmail.inc,1054AV,low,high,low,yes,F,,,nap
797,male,name17567@wwmail.de,1251PW,low,high,high,yes,F,,,nap
798,female,name25431@wwmail.org,1129YR,high,low,medium,yes,F,,,nap
799,male,name10353@tnet.inc,1828KX,low,high,low,yes,F,,,nap
800,male,name1632@lomejor.es,1135ZL,low,medium,high,yes,F,,,nap
801,female,name23332@wwmail.inc,1731VP,low,low,medium,yes,F,,,nap
802,male,name20610@wwmail.es,1412LN,high,low,medium,yes,F,,,nap
803,male,name13842@tnet.uk,1037JO,low,medium,high,yes,F,,,nap
804,female,name13841@tnet.uk,1201WY,low,medium,high,yes,F,,,nap
805,male,name17566@wwmail.de,1385CM,low,high,low,yes,F,,,nap
806,male,name17565@wwmail.de,1985RW,low,high,low,yes,F,,,nap
807,female,name10349@tnet.inc,1168GZ,low,medium,high,yes,F,,,nap
808,female,name28280@zigzag.be,1542KT,low,medium,high,yes,F,,,nap
809,female,name1634@lomejor.es,1630LA,low,high,low,yes,F,,,nap
810,female,name5363@tnet.jp,1087OY,low,high,high,yes,T,23/02/11,22,yes
811,female,name3103@molbe.cat,1668ZL,low,high,low,yes,F,,,nap
812,male,name13840@tnet.uk,1516AG,low,high,low,yes,F,,,nap
813,male,name6289@tnet.fr,1523JK,high,low,medium,yes,F,,,nap
814,female,name1640@lomejor.es,1166YQ,low,high,low,yes,F,,,nap
815,male,name13839@tnet.uk,1978UD,low,high,low,yes,F,,,nap
816,male,name25418@wwmail.org,1843TY,low,medium,high,yes,F,,,nap
817,male,name13838@tnet.uk,1458UB,low,high,medium,yes,F,,,nap
818,female,name23323@wwmail.inc,1786LK,low,medium,high,yes,F,,,nap
819,male,name26798@wwmail.uk,1624SM,low,medium,high,yes,F,,,nap
820,male,name20603@wwmail.es,1305IA,low,high,low,yes,F,,,nap
821,male,name6271@tnet.fr,1272SX,low,medium,low,yes,F,,,nap
822,male,name23321@wwmail.inc,1728NA,low,high,medium,yes,F,,,nap
823,female,name28270@zigzag.be,1124NK,high,medium,medium,yes,F,,,nap
824,female,name23320@wwmail.inc,1651BA,low,high,medium,yes,F,,,nap
825,female,name1642@lomejor.es,1335KD,low,high,low,yes,F,,,nap
826,male,name23319@wwmail.inc,1084QS,low,high,low,yes,F,,,nap
827,male,name13837@tnet.uk,1881FV,low,medium,medium,yes,F,,,nap
828,male,name25411@wwmail.org,1293TZ,high,medium,medium,yes,F,,,nap
829,male,name17560@wwmail.de,1660DA,low,medium,medium,yes,F,,,nap
830,female,name3083@molbe.cat,1557II,high,high,low,yes,F,,,nap
831,female,name6265@tnet.fr,1290UI,low,medium,high,yes,F,,,nap
832,female,name20600@wwmail.es,1408CY,low,high,medium,yes,F,,,nap
833,female,name23315@wwmail.inc,1401AH,low,high,high,yes,F,,,nap
834,female,name135@hmail.fr,1573LT,high,medium,medium,yes,F,,,nap
835,male,name26780@wwmail.uk,1437ZR,high,low,high,yes,F,,,nap
836,female,name25405@wwmail.org,1634QT,low,high,medium,yes,F,,,nap
837,female,name5364@tnet.jp,1947LZ,low,medium,low,yes,F,,,nap
838,female,name28979@zigzag.cat,1763UQ,low,medium,high,yes,F,,,nap
839,female,name26778@wwmail.uk,1192XA,low,high,low,yes,F,,,nap
840,female,name20598@wwmail.es,1378FR,high,low,high,yes,F,,,nap
841,male,name13835@tnet.uk,1628GW,low,medium,high,yes,F,,,nap
842,male,name13834@tnet.uk,1679HZ,low,high,medium,yes,F,,,nap
843,female,name13833@tnet.uk,1716TF,low,high,low,yes,F,,,nap
844,female,name23311@wwmail.inc,1906TN,low,high,high,yes,F,,,nap
845,male,name13832@tnet.uk,1412DB,low,high,medium,yes,F,,,nap
846,female,name23309@wwmail.inc,1480GW,high,low,high,yes,F,,,nap
847,male,name10326@tnet.inc,1763KO,low,high,medium,yes,F,,,nap
848,male,name5366@tnet.jp,1253HC,low,medium,high,yes,T,21/02/11,20,yes
849,female,name6250@tnet.fr,1009TV,low,high,low,yes,F,,,nap
850,female,name23307wwmail.inc,1047IN,low,high,high,yes,T,27/02/11,26,yes
851,male,name5367@tnet.jp,1172FH,low,low,medium,yes,F,,,nap
852,male,name904@hmail.uk,1712JX,low,high,low,yes,F,,,nap
853,female,name3056@molbe.cat,1562NK,low,medium,low,yes,F,,,nap
854,female,name29408@zigzag.jp,1867RG,low,low,high,yes,F,,,nap
855,female,name17558@wwmail.de,1969XX,low,high,low,yes,F,,,nap
856,male,name1647@lomejor.es,1546EC,low,medium,medium,yes,F,,,nap
857,male,name26773@wwmail.uk,1959QN,medium,low,high,yes,F,,,nap
858,female,name1648@lomejor.es,1548KU,medium,low,high,yes,F,,,nap
859,female,name5369@tnet.jp,1674JG,medium,low,high,yes,F,,,nap
860,male,name13831@tnet.uk,1679TC,low,medium,high,yes,F,,,nap
861,female,name23299@wwmail.inc,1926SZ,low,medium,high,yes,F,,,nap
862,male,name20591@wwmail.es,1108FB,low,high,medium,yes,F,,,nap
863,female,name10314@tnet.inc,1595YW,low,high,low,yes,F,,,nap
864,male,name23296@wwmail.inc,1601RW,high,low,high,yes,F,,,nap
865,female,name20590@wwmail.es,1526BT,medium,low,medium,yes,F,,,nap
866,male,name5370@tnet.jp,1679XL,low,high,medium,yes,F,,,nap
867,male,name28960@zigzag.cat,1727LO,medium,low,medium,yes,F,,,nap
868,female,name13830@tnet.uk,1063ZY,low,medium,low,yes,F,,,nap
869,male,name1651@lomejor.es,1662VE,medium,medium,medium,yes,F,,,nap
870,female,name13829@tnet.uk,1411SV,high,low,high,yes,F,,,nap
871,male,name13828@tnet.uk,1655TG,low,high,medium,yes,F,,,nap
872,female,name17557@wwmail.de,1381CX,high,high,low,yes,F,,,nap
873,male,name1652@lomejor.es,1777JW,high,low,high,yes,T,22/02/11,21,yes
874,male,name5371@tnet.jp,1363YP,high,medium,high,yes,F,,,nap
875,male,name5372@tnet.jp,1053DG,medium,low,medium,yes,F,,,nap
876,male,name13827@tnet.uk,1936FW,low,high,low,yes,F,,,nap
877,male,name23290@wwmail.inc,1351CE,low,high,high,yes,F,,,nap
878,male,name28952@zigzag.cat,1211QR,low,medium,high,yes,F,,,nap
879,female,name20587@wwmail.es,1984ME,high,low,medium,yes,F,,,nap
880,male,name20586@wwmail.es,1276WZ,high,low,high,yes,F,,,nap
881,female,name6197@tnet.fr,1006WP,low,medium,medium,yes,F,,,nap
882,female,name13826@tnet.uk,1345SD,low,high,low,yes,F,,,nap
883,male,name25373@wwmail.org,1602ZS,low,high,medium,yes,F,,,nap
884,female,name28947@zigzag.cat,1407CJ,low,high,low,yes,F,,,nap
885,male,name25372@wwmail.org,1598YI,low,high,high,yes,F,,,nap
886,female,name20584@wwmail.es,1369DM,low,high,low,yes,F,,,nap
887,female,name10295@tnet.inc,1847JU,high,medium,low,yes,F,,,nap
888,male,name13825@tnet.uk,1103SV,high,low,high,yes,F,,,nap
889,male,name10292@tnet.inc,1729DG,low,low,high,yes,F,,,nap
890,female,name1658@lomejor.es,1198MU,low,medium,low,yes,F,,,nap
891,male,name23283@wwmail.inc,1749PN,high,low,high,yes,F,,,nap
892,female,name5373@tnet.jp,1601XC,low,high,low,yes,F,,,nap
893,male,name5374@tnet.jp,1635RM,low,high,low,yes,F,,,nap
894,male,name25365@wwmail.org,1765ZH,low,high,medium,yes,F,,,nap
895,male,name947@hmail.uk,1130MR,low,high,medium,yes,F,,,nap
896,female,name13824@tnet.uk,1501ON,low,high,medium,yes,F,,,nap
897,female,name10281@tnet.inc,1693HU,medium,medium,medium,yes,F,,,nap
898,male,name10211@tnet.inc,1917YK,low,high,low,yes,F,,,nap
899,male,name25362@wwmail.org,1695NS,low,medium,low,yes,F,,,nap
900,male,name25361@wwmail.org,1071NW,low,medium,medium,yes,F,,,nap
901,female,name17555@wwmail.de,1517YN,low,high,low,yes,F,,,nap
902,male,name28228@zigzag.be,1113GN,high,low,high,yes,F,,,nap
903,male,name6095@tnet.fr,1744RH,high,low,medium,yes,F,,,nap
904,male,name6094@tnet.fr,1937LD,low,medium,high,yes,F,,,nap
905,male,name13823@tnet.uk,1864KU,low,high,high,yes,F,,,nap
906,male,name5377@tnet.jp,1326GO,low,high,high,yes,F,,,nap
907,male,name25357@wwmail.org,1064RC,high,high,low,yes,F,,,nap
908,female,name20578@wwmail.es,1595AZ,low,medium,high,yes,F,,,nap
909,male,name5378@tnet.jp,1127QN,low,medium,high,yes,F,,,nap
910,male,name28221@zigzag.be,1344SX,low,high,low,yes,F,,,nap
911,female,name20577@wwmail.es,1029KF,low,high,low,yes,F,,,nap
912,female,name5379@tnet.jp,1700RW,medium,low,high,yes,F,,,nap
913,female,name26718@wwmail.uk,1038FV,high,medium,low,yes,F,,,nap
914,female,name20576@wwmail.es,1469RD,low,medium,medium,yes,F,,,nap
915,male,name13822@tnet.uk,1705UA,low,high,low,yes,F,,,nap
916,female,name25351@wwmail.org,1776VS,low,high,low,yes,F,,,nap
917,female,name1672@lomejor.es,1768NT,low,high,low,yes,F,,,nap
918,male,name10174@tnet.inc,1618TU,low,high,medium,yes,F,,,nap
919,female,name20573@wwmail.es,1945DN,low,high,low,yes,F,,,nap
920,male,name989@hmail.uk,1107PN,low,high,low,yes,F,,,nap
921,male,name25346@wwmail.org,1831XC,low,high,low,yes,F,,,nap
922,female,name1675@lomejor.es,1820WG,low,high,high,yes,F,,,nap
923,male,name23270@wwmail.inc,1494ZY,medium,high,low,yes,F,,,nap
924,female,name10155@tnet.inc,1643XS,low,high,low,yes,F,,,nap
925,male,name2943@molbe.cat,1575AF,low,high,high,yes,F,,,nap
926,male,name25343@wwmail.org,1120SL,low,high,medium,yes,F,,,nap
927,female,name20571@wwmail.es,1681VI,low,high,low,yes,F,,,nap
928,male,name28910@zigzag.cat,1097AO,low,medium,low,yes,F,,,nap
929,female,name2940@molbe.cat,1688SC,high,low,medium,yes,F,,,nap
930,male,name5382@tnet.jp,1874FC,high,medium,high,yes,F,,,nap
931,male,name25339@wwmail.org,1530LJ,low,high,medium,yes,F,,,nap
932,female,name25338@wwmail.org,1847UO,low,high,medium,yes,F,,,nap
933,female,name13821@tnet.uk,1700UA,low,high,medium,yes,F,,,nap
934,female,name10143@tnet.inc,1857KG,low,high,high,yes,F,,,nap
935,male,name2934@molbe.cat,1449LZ,high,low,high,yes,F,,,nap
936,female,name29945@zigzag.fr,1636SP,high,medium,medium,yes,F,,,nap
937,female,name28203@zigzag.be,1278TQ,low,medium,high,yes,F,,,nap
938,female,name13820@tnet.uk,1355HS,low,high,low,yes,F,,,nap
939,male,name17551@wwmail.de,1538MS,medium,medium,medium,yes,F,,,nap
940,female,name5987@tnet.fr,1468BC,high,low,high,yes,F,,,nap
941,female,name13818@tnet.uk,1327JV,low,medium,medium,yes,F,,,nap
942,male,name5383@tnet.jp,1866AI,medium,medium,medium,yes,F,,,nap
943,female,name13817@tnet.uk,1485UX,low,high,low,yes,F,,,nap
944,female,name5384@tnet.jp,1315CV,low,high,low,yes,F,,,nap
945,male,name10133@tnet.inc,1493BW,low,high,low,yes,F,,,nap
946,male,name1684@lomejor.es,1207ZF,low,high,high,yes,F,,,nap
947,female,name5959@tnet.fr,1867WM,low,high,high,yes,F,,,nap
948,male,name1686@lomejor.es,1208SG,low,high,low,yes,F,,,nap
949,female,name17546@wwmail.de,1661HJ,low,low,medium,yes,F,,,nap
950,female,name5386@tnet.jp,1005GR,low,high,low,yes,F,,,nap
951,male,name17545@wwmail.de,1252AJ,high,high,low,yes,F,,,nap
952,male,name29319@zigzag.jp,1547TU,low,high,high,yes,F,,,nap
953,male,name10093@tnet.inc,1452YT,low,high,low,yes,F,,,nap
954,female,name26694@wwmail.uk,1602RY,low,high,medium,yes,F,,,nap
955,female,name25322@wwmail.org,1894SZ,high,low,medium,yes,F,,,nap
956,female,name28193@zigzag.be,1994OM,low,high,low,yes,F,,,nap
957,female,name23250@wwmail.inc,1332BX,low,high,low,yes,F,,,nap
958,male,name1037@hmail.uk,1557ML,low,high,low,yes,F,,,nap
959,male,name17544@wwmail.de,1439VL,low,medium,high,yes,F,,,nap
960,female,name25319@wwmail.org,1776IX,medium,high,low,yes,F,,,nap
961,female,name10087@tnet.inc,1101QU,high,medium,medium,yes,F,,,nap
962,female,name17543@wwmail.de,1539OG,low,high,low,yes,F,,,nap
963,male,name2892@molbe.cat,1418RB,low,medium,high,yes,F,,,nap
964,female,name13816@tnet.uk,1781KO,medium,low,medium,yes,F,,,nap
965,male,name28189@zigzag.be,1998YK,medium,high,low,yes,F,,,nap
966,female,name25314@wwmail.org,1233PT,low,low,high,yes,F,,,nap
967,male,name2882@molbe.cat,1155WG,low,high,low,yes,F,,,nap
968,male,name23244@wwmail.inc,1464FQ,high,high,low,yes,F,,,nap
969,female,name5932@tnet.fr,1604IW,low,medium,high,yes,F,,,nap
970,male,name5387@tnet.jp,1237LV,low,high,high,yes,F,,,nap
971,male,name5929@tnet.fr,1862SO,low,high,low,yes,F,,,nap
972,male,name2872@molbe.cat,1745OP,low,high,low,yes,F,,,nap
973,female,name23239@wwmail.inc,1539ZT,high,medium,medium,yes,F,,,nap
974,male,name17538@wwmail.de,1566WU,medium,medium,high,yes,F,,,nap
975,female,name17537@wwmail.de,1939AV,high,low,medium,yes,F,,,nap
976,male,name2868@molbe.cat,1105GL,low,high,low,yes,F,,,nap
977,female,name17536@wwmail.de,1159TK,medium,medium,medium,yes,F,,,nap
978,female,name10070@tnet.inc,1545AO,high,medium,medium,yes,F,,,nap
979,female,name23234@wwmail.inc,1877ZO,low,medium,high,yes,F,,,nap
980,male,name13815@tnet.uk,1889KZ,low,medium,high,yes,F,,,nap
981,female,name17535@wwmail.de,1261RG,low,high,medium,yes,F,,,nap
982,female,name315@hmail.inc,1515IQ,low,high,high,yes,F,,,nap
983,female,name23231@wwmail.inc,1755DP,low,high,low,yes,F,,,nap
984,female,name10051@tnet.inc,1011CQ,low,medium,high,yes,T,28/02/11,27,yes
985,female,name25296@wwmail.org,1582YP,low,high,low,yes,F,,,nap
986,male,name10048@tnet.inc,1132SS,high,medium,medium,yes,F,,,nap
987,female,name5390@tnet.jp,1140RY,low,high,low,yes,F,,,nap
988,female,name13810@tnet.uk,1043LT,low,high,high,yes,T,15/02/11,14,yes
989,male,name17534@wwmail.de,1296MQ,low,high,low,yes,F,,,nap
990,male,name5391@tnet.jp,1266JA,low,medium,medium,yes,F,,,nap
991,female,name13809@tnet.uk,1787QN,low,high,low,yes,F,,,nap
992,female,name17533@wwmail.de,1125AX,medium,high,low,yes,F,,,nap
993,female,name13808@tnet.uk,1516UM,medium,low,medium,yes,F,,,nap
994,female,name28865@zigzag.cat,1697HM,low,high,low,yes,F,,,nap
995,male,name5885@tnet.fr,1346TA,low,high,medium,yes,F,,,nap
996,female,name20540@wwmail.es,1258OF,high,low,medium,yes,F,,,nap
997,female,name2847@molbe.cat,1198EM,low,high,low,yes,F,,,nap
998,male,name10021@tnet.inc,1026HG,low,medium,high,yes,T,18/02/11,17,yes
999,female,name17532@wwmail.de,1650MY,low,high,low,yes,F,,,nap
1000,female,name29280@zigzag.jp,1810EP,low,high,high,yes,F,,,nap
1001,male,name28170@zigzag.be,1632FU,high,low,high,yes,F,,,nap
1002,female,name2829@molbe.cat,1761MT,high,low,high,yes,F,,,nap
1003,female,name20538@wwmail.es,1224XX,low,high,medium,yes,F,,,nap
1004,male,name17531@wwmail.de,1013UT,medium,medium,medium,yes,F,,,nap
1005,male,name2821@molbe.cat,1550UD,low,medium,low,yes,F,,,nap
1006,male,name20536@wwmail.es,1429KB,low,low,high,yes,F,,,nap
1007,male,name26664@wwmail.uk,1380RL,high,low,high,yes,F,,,nap
1008,female,name13806@tnet.uk,1859DZ,high,low,high,yes,F,,,nap
1009,female,name26661@wwmail.uk,1622HE,low,high,low,yes,F,,,nap
1010,male,name23216@wwmail.inc,1471WQ,low,high,medium,yes,F,,,nap
1011,male,name20534@wwmail.es,1122ZN,low,high,high,yes,F,,,nap
1012,male,name25277@wwmail.org,1209EE,low,high,low,yes,F,,,nap
1013,male,name5845@tnet.fr,1558NU,low,high,low,yes,F,,,nap
1014,female,name5833@tnet.fr,1937SL,medium,low,high,yes,F,,,nap
1015,male,name25274@wwmail.org,1840SR,low,high,low,yes,F,,,nap
1016,male,name28159@zigzag.be,1686EJ,low,high,low,yes,F,,,nap
1017,female,name2816@molbe.cat,1405VK,low,high,medium,yes,F,,,nap
1018,female,name26649@wwmail.uk,1197HQ,high,low,high,yes,F,,,nap
1019,male,name17529@wwmail.de,1415YA,low,high,low,yes,F,,,nap
1020,male,name10000@tnet.inc,1975OV,medium,low,high,yes,F,,,nap
1021,male,name26640@wwmail.uk,1252XC,low,high,low,yes,F,,,nap
1022,male,name13805@tnet.uk,1632LH,low,high,low,yes,F,,,nap
1023,male,name1089@hmail.uk,1517KT,medium,low,high,yes,F,,,nap
1024,female,name13804@tnet.uk,1530RE,high,high,low,yes,F,,,nap
1025,female,name13803@tnet.uk,1325CH,low,high,medium,yes,F,,,nap
1026,female,name13801@tnet.uk,1337YV,low,high,low,yes,F,,,nap
1027,male,name327@hmail.inc,1503TD,low,medium,low,yes,F,,,nap
1028,female,name5392@tnet.jp,1666GO,medium,low,high,yes,F,,,nap
1029,female,name20527@wwmail.es,1688LE,medium,medium,high,yes,F,,,nap
1030,male,name26632@wwmail.uk,1424EE,low,medium,medium,yes,F,,,nap
1031,female,name2806@molbe.cat,1123DZ,low,high,low,yes,F,,,nap
1032,female,name26630@wwmail.uk,1260NK,medium,high,medium,yes,F,,,nap
1033,male,name5828@tnet.fr,1948QO,low,medium,medium,yes,F,,,nap
1034,female,name26626@wwmail.uk,1913LG,medium,low,high,yes,F,,,nap
1035,male,name23200@wwmail.inc,1411MZ,high,high,low,yes,F,,,nap
1036,female,name5393@tnet.jp,1457ZV,high,low,high,yes,F,,,nap
1037,female,name25259@wwmail.org,1748UX,low,high,low,yes,F,,,nap
1038,female,name13800@tnet.uk,1046QA,low,high,medium,yes,T,14/02/11,13,yes
1039,female,name5395@tnet.jp,1794OK,low,medium,high,yes,F,,,nap
1040,male,name2790@molbe.cat,1365PV,low,high,low,yes,F,,,nap
1041,male,name13799@tnet.uk,1471AQ,high,low,high,yes,F,,,nap
1042,female,name13798@tnet.uk,1771PQ,low,medium,medium,yes,F,,,nap
1043,male,name28139@zigzag.be,1589SQ,low,high,medium,yes,F,,,nap
1044,male,name28138@zigzag.be,1752EN,low,high,low,yes,F,,,nap
1045,female,name28137@zigzag.be,1738OB,low,high,low,yes,F,,,nap
1046,female,name17524@wwmail.de,1259OY,low,high,medium,yes,F,,,nap
1047,female,name20522@wwmail.es,1695OX,low,high,medium,yes,F,,,nap
1048,female,name28136@zigzag.be,1159XP,medium,low,high,yes,F,,,nap
1049,female,name9999@tnet.inc,1111RW,low,high,low,yes,F,,,nap
1050,male,name25253@wwmail.org,1984NG,low,high,low,yes,F,,,nap
1051,female,name25252@wwmail.org,1710KS,low,high,low,yes,F,,,nap
1052,female,name5396@tnet.jp,1580CS,medium,medium,medium,yes,F,,,nap
1053,female,name25251@wwmail.org,1789KB,low,high,low,yes,F,,,nap
1054,female,name26610@wwmail.uk,1444MU,high,medium,medium,yes,F,,,nap
1055,female,name28131@zigzag.be,1013ZL,low,medium,high,yes,T,21/02/11,20,yes
1056,male,name17523@wwmail.de,1982FK,low,high,high,yes,F,,,nap
1057,male,name1109@hmail.uk,1512FH,low,high,low,yes,F,,,nap
1058,female,name5820@tnet.fr,1048ED,low,high,medium,yes,F,,,nap
1059,female,name5818@tnet.fr,1876XQ,high,medium,low,yes,F,,,nap
1060,female,name2782@molbe.cat,1392RD,low,high,low,yes,F,,,nap
1061,male,name2776@molbe.cat,1057BH,low,high,high,yes,F,,,nap
1062,male,name9996@tnet.inc,1015TR,low,high,high,yes,T,21/02/11,20,yes
1063,female,name7032@tnet.fr,1758PP,medium,medium,medium,yes,F,,,nap
1064,female,name7031@tnet.fr,1003UB,medium,low,high,yes,F,,,nap
1065,male,name29764@zigzag.es,1941JM,low,high,low,yes,F,,,nap
1066,male,name26596@wwmail.uk,1682ME,low,high,medium,yes,F,,,nap
1067,male,name13796@tnet.uk,1611RI,low,high,low,yes,F,,,nap
1068,female,name20520@wwmail.es,1667JF,low,medium,high,yes,F,,,nap
1069,male,name26591@wwmail.uk,1721ZF,low,high,medium,yes,F,,,nap
1070,male,name5397@tnet.jp,1402SB,low,medium,high,yes,F,,,nap
1071,male,name5399@tnet.jp,1370LW,medium,high,low,yes,F,,,nap
1072,male,name26589@wwmail.uk,1808FG,medium,high,low,yes,F,,,nap
1073,male,name1135@hmail.uk,1293XD,low,high,low,yes,F,,,nap
1074,female,name13795@tnet.uk,1037ZY,low,high,high,yes,T,20/02/11,19,yes
1075,female,name17521@wwmail.de,1465IB,medium,medium,medium,yes,F,,,nap
1076,male,name13794@tnet.uk,1509KH,high,medium,medium,yes,F,,,nap
1077,female,name20515@wwmail.es,1191VS,high,high,medium,yes,F,,,nap
1078,female,name1140@hmail.uk,1466XX,high,low,high,yes,F,,,nap
1079,male,name7029@tnet.fr,1910UT,low,high,medium,yes,F,,,nap
1080,female,name9984@tnet.inc,1816FH,low,high,high,yes,F,,,nap
1081,male,name20512@wwmail.es,1487KJ,low,high,low,yes,F,,,nap
1082,male,name20511@wwmail.es,1082NJ,low,medium,high,yes,T,09/02/11,8,yes
