ZIP	CUSTOMER_ID	GENDER	CREDITLIMIT	ZODIAC	E-MAIL ADDRESS	ORDERDATE	AMOUNT_SPENT	MAILING_ID_1.0	MAILING_ID_2.0	1.0_RESPONSE	2.0_RESPONSE	pct_working	pct_with_car	pct_house_owners
"1802UO"	737.000000	"M"	672.000000	7.000000	"name13849@tnet.uk"	2003-03-09	544.040000	"F"	"T"		0.000000	85	89	67
"1971NK"	738.000000	"F"	7801.000000	8.000000	"name25473@wwmail.org"	2002-11-13	406.510000	"T"	"T"	0.000000	0.000000	81	90	70
"1361RL"	739.000000	"M"	5984.000000	5.000000	"name13848@tnet.uk"	2003-01-28	911.980000	"F"	"T"		0.000000	77	92	62
"1164VN"	740.000000	"F"	2621.000000	9.000000	"name23366@wwmail.inc"	2001-02-05	1971.720000	"F"	"T"		0.000000	80	89	64
"1767YN"	741.000000	"M"	6062.000000	6.000000	"name3188@molbe.cat"	2001-10-04	1316.750000	"F"	"T"		0.000000	83	86	67
"1681HP"	742.000000	"M"	9797.000000	4.000000	"name1606@lomejor.es"	2000-01-22	386.320000	"F"	"T"		0.000000	70	88	53
"1287PI"	743.000000	"F"	2687.000000	6.000000	"name29056@zigzag.cat"	2003-09-16	1454.310000	"T"	"T"	0.000000	0.000000	82	87	64
"1023AR"	744.000000	"M"	128.000000	9.000000	"name28323@zigzag.be"	2004-08-09	711.319465	"F"	"T"		1.000000	83	90	68
"1737ZI"	745.000000	"F"	182.000000	11.000000	"name20630@wwmail.es"	2001-10-20	1199.380000	"F"	"T"		0.000000	82	88	62
"1625TZ"	746.000000	"M"	2301.000000	9.000000	"name13847@tnet.uk"	2008-01-28	165.637833	"F"	"T"		0.000000	82	91	63
"1684YE"	747.000000	"F"	2704.000000	8.000000	"name10401@tnet.inc"	2008-08-15	207.406531	"F"	"T"		0.000000	85	87	69
"1508DU"	748.000000	"M"	4033.000000	7.000000	"name13846@tnet.uk"	2003-08-27	785.060000	"T"	"T"	0.000000	0.000000	89	90	76
"1143VC"	749.000000	"M"	1818.000000	9.000000	"name17579@wwmail.de"	2009-02-08	128.067417	"F"	"T"		0.000000	85	90	71
"1228IK"	750.000000	"F"	9044.000000	6.000000	"name26894@wwmail.uk"	2009-02-23	1365.367193	"F"	"T"		0.000000	80	91	60
"1567CX"	751.000000	"F"	1975.000000	12.000000	"name6366@tnet.fr"	1999-10-24	2091.560000	"F"	"T"		0.000000	76	87	59
"1315FI"	752.000000	"F"	3619.000000	9.000000	"name1609@lomejor.es"	2002-12-13	1757.480000	"F"	"T"		0.000000	86	88	71
"1753OI"	753.000000	"M"	3517.000000	8.000000	"name29727@zigzag.com"	2002-01-18	454.800000	"T"	"T"	0.000000	0.000000	84	90	67
"1229DC"	754.000000	"M"	701.000000	8.000000	"name29856@zigzag.es"	2010-04-29	405.286532	"F"	"T"		0.000000	82	88	67
"1036LJ"	755.000000	"M"	1878.000000	3.000000	"name17578@wwmail.de"	2004-05-14	573.874040	"F"	"T"		1.000000	78	89	63
"1002VW"	756.000000	"M"	4023.000000	10.000000	"name29046@zigzag.cat"	2004-11-15	3215.549617	"F"	"T"		1.000000	83	92	70
"1979KZ"	757.000000	"M"	4946.000000	10.000000	"name10389@tnet.inc"	2000-05-01	959.500000	"F"	"T"		0.000000	82	87	66
"1784IE"	758.000000	"F"	9946.000000	8.000000	"name6354@tnet.fr"	2010-10-30	971.262299	"T"	"T"	0.000000	0.000000	82	87	67
"1183FC"	759.000000	"F"	1522.000000	6.000000	"name3172@molbe.cat"	2003-03-04	1183.400000	"F"	"T"		0.000000	85	93	66
"1492WX"	760.000000	"F"	7458.000000	2.000000	"name43@hmail.de"	2001-11-19	31.560000	"F"	"T"		0.000000	74	88	62
"1569VY"	761.000000	"F"	1340.000000	10.000000	"name5357@tnet.jp"	2002-11-24	1195.590000	"F"	"T"		0.000000	87	92	73
"1558OG"	762.000000	"F"	7136.000000	3.000000	"name255@hmail.inc"	2002-12-10	286.970000	"F"	"T"		0.000000	94	89	81
"1588SB"	763.000000	"F"	1723.000000	4.000000	"name25457@wwmail.org"	2011-06-30	1687.273537	"T"	"T"	1.000000	0.000000	74	92	64
"1972BQ"	764.000000	"F"	3799.000000	7.000000	"name1616@lomejor.es"	1999-09-07	845.380000	"F"	"T"		0.000000	73	90	60
"1109VD"	765.000000	"M"	1326.000000	2.000000	"name5359@tnet.jp"	2002-02-10	818.530000	"F"	"T"		0.000000	87	92	69
"1034PE"	766.000000	"F"	6432.000000	2.000000	"name17576@wwmail.de"	2004-06-07	1387.820000	"F"	"T"		0.000000	94	89	79
"1221JA"	767.000000	"F"	1143.000000	2.000000	"name13845@tnet.uk"	2009-05-04	139.342928	"F"	"T"		0.000000	79	88	63
"1794JI"	768.000000	"M"	1799.000000	10.000000	"name25454@wwmail.org"	2008-10-30	179.435710	"T"	"T"	0.000000	0.000000	80	87	66
"1127WB"	769.000000	"M"	9211.000000	4.000000	"name815@hmail.uk"	2010-08-22	1023.254171	"F"	"T"		0.000000	73	88	58
"1606VF"	770.000000	"F"	2558.000000	8.000000	"name29034@zigzag.cat"	2003-10-07	361.940000	"F"	"T"		0.000000	79	89	65
"1940TF"	771.000000	"F"	9191.000000	5.000000	"name10378@tnet.inc"	2010-11-15	1826.171826	"F"	"T"		0.000000	77	91	62
"1572DZ"	772.000000	"M"	2455.000000	5.000000	"name1619@lomejor.es"	2008-03-26	421.005287	"F"	"T"		0.000000	87	90	71
"1587UJ"	773.000000	"F"	39.000000	12.000000	"name20623@wwmail.es"	2001-08-24	784.010000	"T"	"T"	0.000000	0.000000	74	92	60
"1686RR"	774.000000	"F"	2012.000000	4.000000	"name5361tnet.jp"	2008-06-21	906.364555	"F"	"T"		0.000000	79	89	65
"1595IP"	775.000000	"F"	2158.000000	3.000000	"name3155@molbe.cat"	2000-10-14	1181.780000	"F"	"T"		0.000000	82	89	66
"1487WF"	776.000000	"F"	1914.000000	4.000000	"name3147@molbe.cat"	1999-01-26	488.020000	"F"	"T"		0.000000	73	93	60
"1196XI"	777.000000	"M"	8035.000000	11.000000	"name17575@wwmail.de"	1999-03-07	1299.280000	"F"	"T"		0.000000	87	89	71
"1197HI"	778.000000	"F"	271.000000	7.000000	"name17574@wwmail.de"	2001-10-15	192.600000	"T"	"T"	0.000000	0.000000	75	92	60
"1120QK"	779.000000	"F"	7200.000000	3.000000	"name6321@tnet.fr"	2004-03-30	1523.880000	"F"	"T"		0.000000	88	90	71
"1180UC"	780.000000	"F"	8673.000000	2.000000	"name10372@tnet.inc"	2003-03-07	586.910000	"F"	"T"		0.000000	81	89	66
"1495DX"	781.000000	"F"	7203.000000	2.000000	"name17572@wwmail.de"	2004-05-20	3406.390000	"F"	"T"		0.000000	83	88	66
"1876EE"	782.000000	"F"	8089.000000	9.000000	"name17571@wwmail.de"	2010-10-26	131.973396	"F"	"T"		0.000000	85	92	70
"1642TR"	783.000000	"F"	7392.000000	7.000000	"name10356@tnet.inc"	2002-05-26	935.350000	"T"	"T"	0.000000	0.000000	86	91	69
"1060AF"	784.000000	"F"	961.000000	11.000000	"name3125@molbe.cat"	2003-02-22	1247.530000	"F"	"T"		0.000000	81	90	67
"1569SO"	785.000000	"M"	3611.000000	6.000000	"name25442@wwmail.org"	2000-10-03	6.360000	"F"	"T"		0.000000	92	89	78
"1776YQ"	786.000000	"M"	4236.000000	4.000000	"name1625@lomejor.es"	2005-05-20	482.830007	"F"	"T"		0.000000	74	88	62
"1575QV"	787.000000	"M"	8480.000000	5.000000	"name17569@wwmail.de"	2008-10-13	1074.904430	"F"	"T"		0.000000	78	90	60
"1797LD"	788.000000	"F"	4557.000000	6.000000	"name20614@wwmail.es"	2002-08-13	550.430000	"T"	"T"	0.000000	0.000000	91	91	77
"1939UM"	789.000000	"F"	4909.000000	11.000000	"name25438@wwmail.org"	2003-09-16	1345.500000	"F"	"T"		0.000000	78	88	61
"1363IO"	790.000000	"F"	5644.000000	11.000000	"name6302@tnet.fr"	2004-07-13	2020.345168	"F"	"T"		1.000000	79	89	59
"1324VH"	791.000000	"F"	1172.000000	10.000000	"name26833@wwmail.uk"	2001-06-27	447.150000	"F"	"T"		0.000000	71	90	55
"1429VH"	792.000000	"F"	6150.000000	2.000000	"name25436@wwmail.org"	2003-07-24	620.180000	"F"	"T"		0.000000	68	88	53
"1068DK"	793.000000	"M"	4315.000000	12.000000	"name842@hmail.uk"	2002-12-06	91.460000	"T"	"T"	0.000000	0.000000	84	86	72
"1216AM"	794.000000	"F"	764.000000	11.000000	"name10354@tnet.inc"	2003-11-02	776.320000	"F"	"T"		0.000000	80	91	62
"1581YK"	795.000000	"F"	6190.000000	6.000000	"name25434@wwmail.org"	2007-07-25	632.549392	"F"	"T"		0.000000	88	89	72
"1054AV"	796.000000	"F"	9025.000000	2.000000	"name23335@wwmail.inc"	2004-03-01	425.870000	"F"	"T"		0.000000	88	87	74
"1251PW"	797.000000	"F"	6746.000000	9.000000	"name17567@wwmail.de"	2002-09-01	1020.690000	"F"	"T"		0.000000	89	90	73
"1129YR"	798.000000	"F"	6319.000000	6.000000	"name25431@wwmail.org"	2010-02-25	860.668435	"T"	"T"	0.000000	0.000000	75	90	62
"1828KX"	799.000000	"F"	1026.000000	3.000000	"name10353@tnet.inc"	1999-10-06	28.260000	"F"	"T"		0.000000	81	87	69
"1135ZL"	800.000000	"F"	880.000000	8.000000	"name1632@lomejor.es"	2004-09-02	1189.750000	"F"	"T"		0.000000	81	90	64
"1731VP"	801.000000	"F"	1724.000000	10.000000	"name23332@wwmail.inc"	2008-01-29	919.558084	"F"	"T"		0.000000	86	92	73
"1412LN"	802.000000	"F"	4055.000000	6.000000	"name20610@wwmail.es"	2010-03-02	782.204327	"F"	"T"		0.000000	82	94	66
"1037JO"	803.000000	"F"	4994.000000	5.000000	"name13842@tnet.uk"	2002-07-16	2679.090000	"T"	"T"	0.000000	0.000000	92	90	75
"1201WY"	804.000000	"F"	8887.000000	2.000000	"name13841@tnet.uk"	2003-05-15	1262.280000	"F"	"T"		0.000000	84	89	72
"1385CM"	805.000000	"M"	2276.000000	5.000000	"name17566@wwmail.de"	2004-11-06	379.860000	"F"	"T"		0.000000	87	89	77
"1985RW"	806.000000	"F"	1337.000000	4.000000	"name17565@wwmail.de"	2004-04-01	413.910000	"F"	"T"		0.000000	87	89	70
"1168GZ"	807.000000	"M"	8754.000000	1.000000	"name10349@tnet.inc"	2004-10-30	1035.740000	"F"	"T"		0.000000	82	91	69
"1542KT"	808.000000	"F"	8136.000000	11.000000	"name28280@zigzag.be"	2001-05-02	1167.670000	"T"	"T"	0.000000	0.000000	80	88	68
"1630LA"	809.000000	"M"	3381.000000	11.000000	"name1634@lomejor.es"	2002-07-23	377.100000	"F"	"T"		0.000000	78	91	61
"1087OY"	810.000000	"F"	5126.000000	1.000000	"name5363@tnet.jp"	2004-07-28	1469.987505	"F"	"T"		1.000000	80	90	62
"1668ZL"	811.000000	"F"	3829.000000	9.000000	"name3103@molbe.cat"	1999-06-05	7.490000	"F"	"T"		0.000000	77	87	61
"1516AG"	812.000000	"F"	3302.000000	7.000000	"name13840@tnet.uk"	1999-01-26	264.480000	"F"	"T"		0.000000	86	88	68
"1523JK"	813.000000	"M"	5330.000000	3.000000	"name6289@tnet.fr"	2010-12-02	797.578983	"T"	"T"	0.000000	0.000000	73	91	57
"1166YQ"	814.000000	"F"	9810.000000	2.000000	"name1640@lomejor.es"	2002-12-14	469.520000	"F"	"T"		0.000000	84	93	69
"1978UD"	815.000000	"F"	4893.000000	3.000000	"name13839@tnet.uk"	2003-04-12	291.810000	"F"	"T"		0.000000	84	90	72
"1843TY"	816.000000	"F"	6021.000000	9.000000	"name25418@wwmail.org"	2001-05-20	1769.260000	"F"	"T"		0.000000	75	89	61
"1458UB"	817.000000	"F"	6638.000000	8.000000	"name13838@tnet.uk"	2002-06-03	659.590000	"F"	"T"		0.000000	80	90	64
"1786LK"	818.000000	"M"	1184.000000	8.000000	"name23323@wwmail.inc"	2004-10-13	1169.130000	"T"	"T"	0.000000	0.000000	83	93	70
"1624SM"	819.000000	"M"	4830.000000	4.000000	"name26798@wwmail.uk"	2005-11-04	1013.153015	"F"	"T"		0.000000	75	90	62
"1305IA"	820.000000	"F"	9319.000000	6.000000	"name20603@wwmail.es"	2006-01-21	129.191841	"F"	"T"		0.000000	81	89	65
"1272SX"	821.000000	"M"	5708.000000	7.000000	"name6271@tnet.fr"	2007-03-29	357.860885	"F"	"T"		0.000000	73	91	59
"1728NA"	822.000000	"F"	5970.000000	4.000000	"name23321@wwmail.inc"	1999-11-03	910.510000	"F"	"T"		0.000000	81	93	68
"1124NK"	823.000000	"F"	1483.000000	9.000000	"name28270@zigzag.be"	2010-07-15	820.567717	"T"	"T"	0.000000	0.000000	82	88	65
"1651BA"	824.000000	"M"	7759.000000	2.000000	"name23320@wwmail.inc"	2002-06-25	610.230000	"F"	"T"		0.000000	80	90	67
"1335KD"	825.000000	"F"	9280.000000	8.000000	"name1642@lomejor.es"	2000-10-30	281.600000	"F"	"T"		0.000000	77	93	61
"1084QS"	826.000000	"F"	717.000000	9.000000	"name23319@wwmail.inc"	2007-01-14	50.000000	"F"	"T"		0.000000	90	96	75
"1881FV"	827.000000	"M"	4406.000000	4.000000	"name13837@tnet.uk"	2002-11-16	522.290000	"F"	"T"		0.000000	69	93	53
"1293TZ"	828.000000	"M"	6337.000000	5.000000	"name25411@wwmail.org"	2010-06-06	796.838411	"T"	"T"	0.000000	0.000000	71	90	54
"1660DA"	829.000000	"F"	7483.000000	12.000000	"name17560@wwmail.de"	1999-05-25	750.550000	"F"	"T"		0.000000	78	89	63
"1557II"	830.000000	"M"	9170.000000	4.000000	"name3083@molbe.cat"	2010-01-17	107.149382	"F"	"T"		0.000000	83	94	71
"1290UI"	831.000000	"F"	3762.000000	1.000000	"name6265@tnet.fr"	2003-02-10	926.700000	"F"	"T"		0.000000	78	86	62
"1408CY"	832.000000	"F"	1695.000000	11.000000	"name20600@wwmail.es"	2002-10-25	504.840000	"F"	"T"		0.000000	75	90	57
"1401AH"	833.000000	"M"	3361.000000	5.000000	"name23315@wwmail.inc"	1999-09-25	1318.940000	"T"	"T"	0.000000	0.000000	80	90	65
"1573LT"	834.000000	"M"	8406.000000	4.000000	"name135@hmail.fr"	2010-12-26	516.530232	"F"	"T"		0.000000	86	91	68
"1437ZR"	835.000000	"F"	467.000000	8.000000	"name26780@wwmail.uk"	2010-05-28	1409.897726	"F"	"T"		0.000000	78	94	62
"1634QT"	836.000000	"F"	1644.000000	4.000000	"name25405@wwmail.org"	2001-04-03	566.200000	"F"	"T"		0.000000	87	89	75
"1947LZ"	837.000000	"M"	7926.000000	8.000000	"name5364@tnet.jp"	2006-12-20	283.380468	"F"	"T"		0.000000	76	87	59
"1763UQ"	838.000000	"F"	5578.000000	10.000000	"name28979@zigzag.cat"	2003-12-04	1422.950000	"T"	"T"	0.000000	0.000000	79	90	65
"1192XA"	839.000000	"M"	6780.000000	6.000000	"name26778@wwmail.uk"	2006-02-01	374.931014	"F"	"T"		0.000000	89	88	74
"1378FR"	840.000000	"M"	8523.000000	6.000000	"name20598@wwmail.es"	2010-10-04	1577.391408	"F"	"T"		0.000000	84	88	67
"1628GW"	841.000000	"M"	9676.000000	2.000000	"name13835@tnet.uk"	2000-02-07	1239.440000	"F"	"T"		0.000000	75	93	62
"1679HZ"	842.000000	"F"	5745.000000	9.000000	"name13834@tnet.uk"	2003-12-17	715.680000	"F"	"T"		0.000000	91	92	76
"1716TF"	843.000000	"F"	1359.000000	10.000000	"name13833@tnet.uk"	2001-01-16	103.680000	"T"	"T"	0.000000	0.000000	81	92	70
"1906TN"	844.000000	"M"	2112.000000	1.000000	"name23311@wwmail.inc"	2003-10-26	1132.550000	"F"	"T"		0.000000	79	92	65
"1412DB"	845.000000	"F"	1349.000000	11.000000	"name13832@tnet.uk"	2002-10-24	776.730000	"F"	"T"		0.000000	77	88	67
"1480GW"	846.000000	"F"	320.000000	10.000000	"name23309@wwmail.inc"	2010-05-12	1722.288944	"F"	"T"		0.000000	82	93	67
"1763KO"	847.000000	"F"	6016.000000	12.000000	"name10326@tnet.inc"	2004-12-14	560.650000	"F"	"T"		0.000000	84	96	70
"1253HC"	848.000000	"F"	4061.000000	3.000000	"name5366@tnet.jp"	2004-11-17	3583.894226	"T"	"T"	0.000000	1.000000	88	92	74
"1009TV"	849.000000	"F"	7750.000000	3.000000	"name6250@tnet.fr"	2003-06-16	24.660000	"F"	"T"		0.000000	73	90	59
"1047IN"	850.000000	"M"	4889.000000	10.000000	"name23307wwmail.inc"	2004-11-18	1096.322384	"F"	"T"		1.000000	86	90	73
"1172FH"	851.000000	"F"	5234.000000	10.000000	"name5367@tnet.jp"	2007-01-25	898.498757	"F"	"T"		0.000000	77	91	61
"1712JX"	852.000000	"F"	5270.000000	4.000000	"name904@hmail.uk"	2006-03-28	418.708693	"F"	"T"		0.000000	75	92	61
"1562NK"	853.000000	"F"	2497.000000	7.000000	"name3056@molbe.cat"	2004-06-07	423.030000	"T"	"T"	0.000000	0.000000	85	92	71
"1867RG"	854.000000	"M"	7038.000000	5.000000	"name29408@zigzag.jp"	2004-10-26	2552.810000	"F"	"T"		0.000000	83	89	68
"1969XX"	855.000000	"F"	1223.000000	4.000000	"name17558@wwmail.de"	2004-05-02	57.960000	"F"	"T"		0.000000	82	88	68
"1546EC"	856.000000	"F"	2013.000000	10.000000	"name1647@lomejor.es"	2001-01-02	841.240000	"F"	"T"		0.000000	75	88	58
"1959QN"	857.000000	"F"	8617.000000	4.000000	"name26773@wwmail.uk"	2008-07-14	1416.208458	"F"	"T"		0.000000	73	92	56
"1548KU"	858.000000	"M"	339.000000	6.000000	"name1648@lomejor.es"	2009-05-20	956.830993	"T"	"T"	0.000000	0.000000	75	90	59
"1674JG"	859.000000	"F"	3442.000000	2.000000	"name5369@tnet.jp"	2009-06-04	1577.183955	"F"	"T"		0.000000	86	92	72
"1679TC"	860.000000	"M"	8229.000000	10.000000	"name13831@tnet.uk"	2007-06-24	937.415832	"F"	"T"		0.000000	86	89	69
"1926SZ"	861.000000	"M"	8689.000000	2.000000	"name23299@wwmail.inc"	2003-07-15	1669.320000	"F"	"T"		0.000000	75	89	60
"1108FB"	862.000000	"M"	8331.000000	10.000000	"name20591@wwmail.es"	2004-09-02	681.600000	"F"	"T"		0.000000	87	90	75
"1595YW"	863.000000	"F"	887.000000	11.000000	"name10314@tnet.inc"	1999-11-08	11.510000	"T"	"T"	0.000000	0.000000	79	91	62
"1601RW"	864.000000	"M"	1202.000000	1.000000	"name23296@wwmail.inc"	2010-10-17	1017.764798	"F"	"T"		0.000000	87	90	75
"1526BT"	865.000000	"M"	2044.000000	4.000000	"name20590@wwmail.es"	2009-02-13	526.481137	"F"	"T"		0.000000	78	92	65
"1679XL"	866.000000	"M"	6185.000000	5.000000	"name5370@tnet.jp"	2000-08-17	672.080000	"F"	"T"		0.000000	70	91	54
"1727LO"	867.000000	"F"	1609.000000	7.000000	"name28960@zigzag.cat"	2009-06-22	865.455677	"F"	"T"		0.000000	86	90	72
"1063ZY"	868.000000	"F"	3222.000000	2.000000	"name13830@tnet.uk"	2007-11-19	326.302944	"T"	"T"	0.000000	0.000000	82	90	65
"1662VE"	869.000000	"F"	4909.000000	4.000000	"name1651@lomejor.es"	2009-01-07	720.644524	"F"	"T"		0.000000	81	93	67
"1411SV"	870.000000	"F"	3616.000000	9.000000	"name13829@tnet.uk"	2010-11-22	1848.480258	"F"	"T"		0.000000	76	90	58
"1655TG"	871.000000	"F"	5002.000000	11.000000	"name13828@tnet.uk"	2002-04-04	512.550000	"F"	"T"		0.000000	75	90	62
"1381CX"	872.000000	"F"	7268.000000	6.000000	"name17557@wwmail.de"	2010-09-09	351.975802	"F"	"T"		0.000000	87	88	72
"1777JW"	873.000000	"M"	6535.000000	12.000000	"name1652@lomejor.es"	2011-06-02	12112.519306	"T"	"T"	1.000000	0.000000	79	91	63
"1363YP"	874.000000	"F"	2706.000000	4.000000	"name5371@tnet.jp"	2010-11-16	938.306805	"F"	"T"		0.000000	93	88	81
"1053DG"	875.000000	"F"	1326.000000	6.000000	"name5372@tnet.jp"	2009-11-26	737.502825	"F"	"T"		0.000000	77	88	61
"1936FW"	876.000000	"F"	367.000000	11.000000	"name13827@tnet.uk"	2004-07-13	347.600000	"F"	"T"		0.000000	83	89	67
"1351CE"	877.000000	"M"	414.000000	3.000000	"name23290@wwmail.inc"	2002-04-25	1213.980000	"F"	"T"		0.000000	78	90	60
"1211QR"	878.000000	"F"	7427.000000	11.000000	"name28952@zigzag.cat"	2001-04-02	1219.540000	"T"	"T"	0.000000	0.000000	76	92	63
"1984ME"	879.000000	"F"	9528.000000	12.000000	"name20587@wwmail.es"	2010-11-19	715.925149	"F"	"T"		0.000000	71	89	58
"1276WZ"	880.000000	"M"	2043.000000	2.000000	"name20586@wwmail.es"	2010-09-27	2198.529640	"F"	"T"		0.000000	83	93	70
"1006WP"	881.000000	"F"	2099.000000	3.000000	"name6197@tnet.fr"	2004-02-10	700.720000	"F"	"T"		0.000000	75	92	61
"1345SD"	882.000000	"F"	1463.000000	7.000000	"name13826@tnet.uk"	2000-12-28	378.920000	"F"	"T"		0.000000	81	91	68
"1602ZS"	883.000000	"F"	8458.000000	9.000000	"name25373@wwmail.org"	2003-07-05	845.380000	"T"	"T"	0.000000	0.000000	88	92	72
"1407CJ"	884.000000	"F"	2138.000000	9.000000	"name28947@zigzag.cat"	2004-10-04	198.300000	"F"	"T"		0.000000	79	90	63
"1598YI"	885.000000	"F"	5963.000000	6.000000	"name25372@wwmail.org"	2001-06-10	1195.920000	"F"	"T"		0.000000	85	91	72
"1369DM"	886.000000	"F"	2191.000000	1.000000	"name20584@wwmail.es"	2002-04-27	180.160000	"F"	"T"		0.000000	80	92	64
"1847JU"	887.000000	"M"	4696.000000	10.000000	"name10295@tnet.inc"	2010-07-17	368.673912	"F"	"T"		0.000000	80	87	62
"1103SV"	888.000000	"F"	8640.000000	2.000000	"name13825@tnet.uk"	2010-01-23	1014.191466	"T"	"T"	0.000000	0.000000	77	94	62
"1729DG"	889.000000	"F"	7479.000000	2.000000	"name10292@tnet.inc"	2001-12-18	2596.090000	"F"	"T"		0.000000	84	93	69
"1198MU"	890.000000	"M"	206.000000	9.000000	"name1658@lomejor.es"	2007-09-16	278.231772	"F"	"T"		0.000000	89	91	75
"1749PN"	891.000000	"F"	2068.000000	9.000000	"name23283@wwmail.inc"	2010-11-06	1442.382978	"F"	"T"		0.000000	83	90	70
"1601XC"	892.000000	"M"	8895.000000	5.000000	"name5373@tnet.jp"	2001-11-02	249.930000	"F"	"T"		0.000000	74	90	59
"1635RM"	893.000000	"M"	8284.000000	12.000000	"name5374@tnet.jp"	2000-05-19	59.340000	"T"	"T"	0.000000	0.000000	77	91	64
"1765ZH"	894.000000	"F"	2681.000000	7.000000	"name25365@wwmail.org"	2003-09-05	640.330000	"F"	"T"		0.000000	77	89	57
"1130MR"	895.000000	"F"	3938.000000	3.000000	"name947@hmail.uk"	2001-11-13	663.010000	"F"	"T"		0.000000	88	89	70
"1501ON"	896.000000	"F"	9130.000000	3.000000	"name13824@tnet.uk"	2002-10-13	686.000000	"F"	"T"		0.000000	76	91	58
"1693HU"	897.000000	"F"	155.000000	9.000000	"name10281@tnet.inc"	2008-12-13	625.465420	"F"	"T"		0.000000	77	89	64
"1917YK"	898.000000	"F"	6273.000000	7.000000	"name10211@tnet.inc"	2003-10-16	391.000000	"T"	"T"	0.000000	0.000000	76	89	59
"1695NS"	899.000000	"M"	5492.000000	5.000000	"name25362@wwmail.org"	2007-05-05	310.157129	"F"	"T"		0.000000	77	91	63
"1071NW"	900.000000	"F"	7812.000000	6.000000	"name25361@wwmail.org"	2006-12-19	678.412866	"F"	"T"		0.000000	78	90	64
"1517YN"	901.000000	"F"	8377.000000	6.000000	"name17555@wwmail.de"	2000-03-03	453.440000	"F"	"T"		0.000000	81	91	64
"1113GN"	902.000000	"M"	6027.000000	7.000000	"name28228@zigzag.be"	2010-07-10	1160.663782	"F"	"T"		0.000000	81	89	70
"1744RH"	903.000000	"F"	7726.000000	3.000000	"name6095@tnet.fr"	2010-04-15	507.954181	"T"	"T"	0.000000	0.000000	67	93	51
"1937LD"	904.000000	"F"	9633.000000	3.000000	"name6094@tnet.fr"	2002-02-07	2055.520000	"F"	"T"		0.000000	82	91	64
"1864KU"	905.000000	"M"	1880.000000	1.000000	"name13823@tnet.uk"	2003-10-27	1295.590000	"F"	"T"		0.000000	77	85	62
"1326GO"	906.000000	"M"	9352.000000	5.000000	"name5377@tnet.jp"	2004-10-16	1127.660000	"F"	"T"		0.000000	71	87	56
"1064RC"	907.000000	"F"	802.000000	4.000000	"name25357@wwmail.org"	2010-06-10	102.362794	"F"	"T"		0.000000	80	89	65
"1595AZ"	908.000000	"F"	2259.000000	3.000000	"name20578@wwmail.es"	2003-06-13	1179.280000	"T"	"T"	0.000000	0.000000	76	88	60
"1127QN"	909.000000	"M"	443.000000	2.000000	"name5378@tnet.jp"	2004-10-25	2161.220000	"F"	"T"		0.000000	77	92	64
"1344SX"	910.000000	"F"	12.000000	6.000000	"name28221@zigzag.be"	2001-04-24	352.980000	"F"	"T"		0.000000	81	88	68
"1029KF"	911.000000	"F"	2501.000000	6.000000	"name20577@wwmail.es"	2004-03-01	6.920000	"F"	"T"		0.000000	81	85	65
